"facdf$Week.Advia","DImax","Omax","DImin","Omin","DIhyper","Ohyper"
1,1.023252608302,1.03564994573538,1.24540759921226,1.00130302591574,1.01976036418084,1.03303319015385
2,1.00105013448344,0.995501146609538,1.02053775480315,0.962560890744607,1.00584404856062,0.953361502726034
3,1.08145406619785,0.995556727532726,0.943185838580501,0.980016484710485,1.07734932854565,1.00170870843395
4,1.00429033293386,0.970504400989477,0.913379491314295,0.970489009289149,1.00199275992109,0.997310842653708
5,0.989481164966533,1.01476631110922,0.909128811629852,0.984850721743138,0.982883323404723,0.998406684233627
6,0.955175916214005,1.01654946224015,0.88182718512777,0.965794406711176,0.954790177881561,0.987555457903062
7,1.01486026940145,0.965644480614402,0.981927081893522,0.997979797979798,1.01078256815903,1.04188116559086
8,1.04106900859896,1.01826413014482,0.863647556122632,1.00467417541977,1.03724455385056,1.01400528427394
9,0.98717964313534,1.0219367113065,0.886334065110397,1.0148882089852,0.982621273492885,0.974841330895429
10,0.960265520368632,0.980372494131396,0.908978776313879,1.0114605381947,0.957548792556331,0.988629955586772
11,0.975924538404056,0.928449854150059,0.687556684969569,1.00467417541977,0.975037654018925,0.980098885307353
12,0.951700345183998,1.03104347790318,0.880931866195205,1.01833919787604,0.946934469920421,0.984345935497785
13,1.08237656634083,1.03751539233841,1.01875067700643,1.02707022071377,1.0772825865065,1.04071755655005
14,1.05703138692683,1.02374517363126,1.0326775696832,0.981622615228156,1.05763140557327,1.03597130678321
15,0.883606921909993,0.944363891162035,0.814618157708818,0.984850721743138,0.883524451310723,0.937138090418893
16,0.885857285669725,0.946681967358787,0.763615513231438,0.964239613794987,0.882982781295711,0.917271172548198
17,1.0164089087352,1.00485849958949,1.08876547209009,0.9515605161125,1.01677176636088,1.01605859279007
18,1.00922371117188,1.05517487303856,1.02156808475383,1.00478138719945,1.00998794501778,1.02583305843755
19,1.05256409165554,0.963084844624755,1.30613896030737,0.979208276411071,1.04725521019955,0.994437811511095
20,0.969973272094084,0.99328069795539,1.19588587777318,1.00963503649635,0.940755998358625,1.00159840930788
21,0.96340447499272,0.99328069795539,1.17824929222829,1.00963503649635,0.977895847248177,0.994478041469194
22,0.998952066458857,1.00448311184211,1.20096187224098,1.02081180811808,0.998015150735036,1.00519696646707
24,0.965689955099964,0.971609119090909,1.02051162342464,0.99870036101083,0.972032650636201,1.00519696646707
25,1.06200927449888,1.09058166428571,1.06827274992366,1.05587786259542,1.04456340123976,1.09574342950392
