"Sample","percent3D7b","percentTHb"
"1111_W4","102.766692936278","105.898445273617"
"1145","69.9286096108541","95.9586774040506"
"1212","82.0499488710594","91.520228018462"
"1234","90.3698328380219","111.420284415663"
"1287","127.130962583986","116.900918451138"
"1386","89.4287128869798","102.599905197752"
"1473","127.831646001422","101.441825797333"
"1723","91.2637670348832","94.097697178421"
"1847","78.5721548394429","93.1469155384854"
"2071","102.018140785403","91.8123164820388"
"2112","107.497599745453","109.410049247736"
"2222_W20","116.032409688714","97.2487112612488"
"2473","95.8482039620408","87.7500403689574"
"2752","136.081790630229","119.088278918035"
"2814","115.83985679512","113.972269357121"
"2860","94.7209072656847","100.294546742505"
"3001","89.8082807205658","106.037357469199"
"3021","87.7481982400133","75.8700055539916"
"3333_W18","89.5880267428298","106.701900870468"
"3459","127.950660618915","105.348838141931"
"3627","108.83749609452","108.182136914619"
"3645","96.0585246749017","81.7238347013799"
"3730","75.1924450534901","92.1336866565983"
"3804","119.40370022687","113.646827233465"
"3841","100.804055935576","101.349943970605"
"3853","71.0168385525687","93.0610450219991"
"3874","93.2295170765576","91.423063455532"
"3881","132.428968833586","100.214343252481"
"4100","114.941306496117","97.9531316609528"
"4379","125.449951764895","111.154210526706"
"4412","94.9456144670152","92.6762853774685"
"4471","85.6338121618745","92.1685076615104"
"4715","88.6043027029048","95.3938523893024"
"5022","64.4563036087889","86.6848730919866"
"5083","83.3864238563394","100.234262532552"
"5134","111.383619107992","105.435708114445"
"5218","118.484050241588","86.7896326711079"
"5273","130.829153205155","127.514886131279"
"5279","101.225166302354","79.6005568075954"
"5555","101.926469004036","106.734680719607"
"5609","115.979963221554","114.224206453425"
"5691","122.483704654522","111.098141733697"
"5821","89.6071115480104","106.713901799883"
"5833","111.416942237228","101.713672633544"
"6129","121.774050998685","116.990333465902"
"6156","88.7349904901384","98.9008819338751"
"6248","78.48950613107","102.644898751679"
"6342","92.0426178997101","88.1658011477813"
"6408","92.4782474881385","96.7287650203611"
"6523","87.6367009955235","86.2378180691492"
"6668","82.690742582281","95.0598893613331"
"6686","66.2210680063438","82.9056382142364"
"6760","119.219649274943","104.682223965344"
"6896","96.3359156641552","100.844227597203"
"7079","111.584303279158","113.731776181828"
"7259","91.6864959181448","89.978272347204"
"7274","101.139111603546","101.023442977541"
"7370","109.781427463678","105.892090949495"
"7496","72.4950613349896","83.4879685660376"
"8032","117.385698563128","111.751059216738"
"8158","84.9008169973317","103.496956585202"
"8162","100.984192190981","107.697338880493"
"8277","89.8738910977683","112.545270874448"
"8281","131.689204637994","104.159229251332"
"8335","91.6720780427545","93.3181571050834"
"8393","117.081373433293","114.34820996234"
"8474","94.9983482853471","95.4679119929644"
"8555","76.1944172103784","82.88429991503"
"8613","106.750257331458","85.5274044211816"
"9172","91.5167970122541","90.6341548536129"
"9387","90.1391696278398","90.324838033029"
"9688","126.235716241387","110.228761612067"
"9765","88.0663063712381","105.997775547614"
