"Sample","percent3D7a","percentTHa"
"1111_W4","108.747687725941","99.4268869337575"
"1145","92.888116793258","66.2687803621918"
"1212","107.123513941204","79.2345971627459"
"1234","108.716792768518","123.30033216742"
"1386","88.9397511369185","89.8923255962588"
"1473","101.168470449015","108.09551603613"
"1723","85.5253273297393","80.233343679897"
"1847","126.591498885158","117.333316157261"
"2071","93.6028175400291","104.072888917677"
"2222_W20","88.1667121076508","79.0921562333248"
"2473","100.943140327287","79.4447403340844"
"2752","70.0270195574263","143.136582944028"
"2814","81.9676501111155","107.140494686094"
"3001","143.23693186387","91.0341007302204"
"3021","93.4628529214029","86.5674065392911"
"3333_W18","94.8889785269257","85.600183319802"
"3459","105.623211388568","159.576201476988"
"3627","92.8040906866315","138.710665413511"
"3645","126.462552152589","193.261816124171"
"3804","106.388630828448","148.734233579925"
"3853","83.5714984638192","85.3797142271612"
"3874","97.7313346918544","106.197962214165"
"3881","114.992419057104","124.688442477022"
"4100","105.121518306871","127.266988225172"
"4379","65.5652104801447","129.394266639589"
"4412","115.073562596973","98.3101139675356"
"4471","92.1795034262042","61.1596792354267"
"4715","102.008802184715","65.0465338120371"
"5022","78.3690285192633","52.9748686266729"
"5083","91.4084815357533","130.229768243622"
"5134","111.619005228189","115.639214877811"
"5218","106.509956653301","90.3291711657011"
"5555","105.17775613503","85.2021691000184"
"5609","97.4401137741683","135.610151426308"
"5691","86.2293760177665","85.4580570698669"
"5821","82.7831042987425","104.678050511005"
"5833","103.289548739746","73.0076473346021"
"6129","72.515895410251","121.119040290522"
"6156","136.404951974258","110.441991144876"
"6248","101.624038431339","78.0629438998683"
"6342","90.2653979069807","40.6026245588062"
"6408","94.0400362701808","84.4890764880186"
"6523","98.5313067191293","67.434714870157"
"6668","103.979121152316","81.9525139042679"
"6686","91.7455972731401","109.538428649665"
"6760","87.8829674168491","98.0002727007692"
"6896","112.59573972296","103.85003719738"
"7079","96.8179866042932","95.3595271008839"
"7259","82.7277199868511","48.1674506020968"
"7370","121.892452484447","132.8661098083"
"7496","86.6886820328411","85.7250979209876"
"8032","116.320715333047","86.2331259770927"
"8158","95.7530636389546","99.5054267781505"
"8162","90.2388490505272","59.8297290512104"
"8277","92.3102268596372","98.729572069917"
"8281","122.198725786692","101.548173288803"
"8335","137.759948284423","103.874753844266"
"8393","110.924407124997","92.7222735114721"
"8474","103.751656128072","165.023025250266"
"8613","94.2675024275173","104.017678775835"
"9172","106.249554851543","103.163251156294"
"9387","80.7890862200562","116.571366593482"
"9688","115.378403757357","60.4424270181141"
